date,day_week,special_event,6_week_lun,6_week_din,lun_ly,din_ly,din_2y,pred_lunch,pred_din,lunch_sales,dinner_sales,guest_count_lunch,guest_count_dinner,ppl_res_lun,ppl_res_din,temp_avg
10/28/2018,Sunday,,102,263,169,255,,100,250,,,123,249,17,8,59
10/29/2018,Monday,OSU Coaches Drop Off Cater,55,199,46,158,,60,160,,,50,151,0,17,56
10/30/2018,Tuesday,Halloween Last Year,58,191,39,119,,60,160,,,43,151,0,33,52
10/31/2018,Wednesday,Halloween This Year,70,194,70,207,,35,120,,,51,128,0,23,55
11/1/2018,Thursday,,55,199,54,213,,60,200,$681.70,4924.23,52,267,0,67,61
11/2/2018,Friday,parents weekend OSU,58,191,75,418,,80,420,"$2,235.24",9415.59,151,459,180,125,59
11/3/2018,Saturday,"usc @osu TBD , Parent weeknd OSU",70,194,155,457,,160,460,"$4,696.96",10907.67,222,629,57,97,53
11/4/2018,Sunday,parents weekend OSU,55,194,142,222,,150,220,"$3,024.25",5217.26,176,284,14,10,59
11/5/2018,Monday,coaches dinner,71,272,67,122,,60,120,"$1,047.24",2113.5,31,99,0,16,54
11/6/2018,Tuesday,6pm OSU vs UC Riverside BBALL,70,339,87,131,,60,130,$602.32,3856.75,42,220,0,19,49
11/7/2018,Wednesday,,102,263,42,152,,50,150,$581.78,3318.97,45,168,0,4,45
11/8/2018,Thursday,,55,199,69,279,,70,280,$761.73,4177.8,52,226,8,64,47
